condition,arm,tech,firms,groups,measure,mean,ci_low,ci_high
cm3_12w,ct_scattered,control_tower,6,6,fill_rate,0.0,0.0,0.0
cm3_12w,ct_scattered,control_tower,6,6,retail_on_time_rate,0.0,0.0,0.0
cm3_12w,ct_scattered,control_tower,6,6,quality_mean,0.0,0.0,0.0
cm3_12w,ct_scattered,control_tower,6,6,costs_tech,5120000.0,5120000.0,5120000.0
cm3_12w,ct_scattered,control_tower,6,6,costs_stockout,0.0,0.0,0.0
cm3_12w,ct_scattered,control_tower,6,6,costs_holding,0.0,0.0,0.0
cm3_12w,ct_scattered,control_tower,6,6,scrap_value,0.0,0.0,0.0
cm3_12w,ct_scattered,control_tower,6,6,bullwhip_DC,0.0,0.0,0.0
cm3_12w,ct_scattered,control_tower,6,6,bullwhip_MFG,0.0,0.0,0.0
cm3_12w,ct_scattered,control_tower,6,6,bullwhip_CM,0.0,0.0,0.0
cm3_12w,ct_dyads,control_tower,6,3,network_profit,9053523.763999684,-6132004.074150573,24239051.60214994
cm3_12w,ct_dyads,control_tower,6,3,network_profit_with_inventory,11219776.570387522,-3419465.454826776,25859018.59560182
cm3_12w,ct_dyads,control_tower,6,3,satisfaction_index,0.00018295305654102053,5.7059730457964254e-05,0.00030884638262407684
cm3_12w,ct_dyads,control_tower,6,3,fill_rate,0.00036788226271343704,0.0001192530181167988,0.0006165115073100753
cm3_12w,ct_dyads,control_tower,6,3,retail_on_time_rate,-2.4920200795660227e-06,-5.95538298425625e-05,5.4569789683430455e-05
cm3_12w,ct_dyads,control_tower,6,3,quality_mean,-1.2023439592316146e-06,-5.739637569460704e-05,5.499168777614381e-05
cm3_12w,ct_dyads,control_tower,6,3,costs_tech,7296000.0,7296000.0,7296000.0
cm3_12w,ct_dyads,control_tower,6,3,costs_stockout,-7087104.353333342,-11877369.39552489,-2296839.3111417945
cm3_12w,ct_dyads,control_tower,6,3,costs_holding,4180088.330666693,2409989.0128692463,5950187.64846414
