tech,scope,firms,measure,mean,ci_low,ci_high,base_mean,git_commit,git_dirty,run_date
ml_forecast,tier,8,scrap_value,-307875.83000000316,-543228.0114805877,-72523.6485194187,2534818648.414666,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
ml_forecast,tier,8,costs_handling,-237.07533333337244,-299.75977382192065,-174.39089284482424,2161722.944,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
ml_forecast,tier,8,bullwhip_DC,-0.14265668120458955,-0.16261514851148282,-0.12269821389769628,8.097005523326827,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
ml_forecast,tier,8,bullwhip_MFG,-0.4582421492163199,-0.5224292853068588,-0.394055013125781,23.944031385413812,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
ml_forecast,tier,8,bullwhip_CM,-2.573409006253633,-2.9224014064409807,-2.2244166060662853,106.60575902029146,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
rfid,all,18,network_profit,82736697.62466736,62686663.129327536,102786732.12000719,42097347577.692,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
rfid,all,18,network_profit_with_inventory,50456915.16655299,33872189.47486239,67041640.85824359,41399307504.953445,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
rfid,all,18,satisfaction_index,-8.811737768912308e-05,-0.00019127780602306834,1.5043050644822183e-05,0.9614914698367085,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
rfid,all,18,fill_rate,-0.000157168185684257,-0.0003728438338020447,5.850746243353072e-05,0.9835936735168377,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
rfid,all,18,retail_on_time_rate,3.565891139941287e-06,-6.345517437613782e-05,7.058695665602038e-05,0.9134991801295925,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
rfid,all,18,quality_mean,-5.301526094476649e-05,-8.563831658894498e-05,-2.0392205300588003e-05,0.9782243951970597,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
rfid,all,18,co2_kg,-5604401.344438013,-8111742.485120224,-3097060.203755801,2975435457.861808,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
rfid,all,18,costs_tech,11813000.0,11396502.466863083,12229497.533136917,0.0,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
rfid,all,18,costs_holding,-22722909.520000003,-26024823.15649236,-19420995.883507647,1212962200.4356668,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
rfid,all,18,costs_shipping,-11883662.552999973,-15909519.983473014,-7857805.1225269325,4516546662.023,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
rfid,all,18,costs_stockout,3026472.826333332,-1128840.8730106326,7181786.525677296,316103452.5773334,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
rfid,all,18,scrap_value,-86840892.67400005,-94190389.52714406,-79491395.82085605,2534818648.414666,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
rfid,all,18,costs_handling,-1492.4910000000614,-2041.2425436773246,-943.739456322798,2161722.944,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
rfid,all,18,bullwhip_DC,-0.26351301417181694,-0.3479070985375743,-0.1791189298060596,8.097005523326827,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
rfid,all,18,bullwhip_MFG,-0.5015139207620954,-0.9473862649377569,-0.05564157658643398,23.944031385413812,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
rfid,all,18,bullwhip_CM,-1.0773193143987343,-3.9283450408284426,1.773706412030974,106.60575902029146,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
rfid,tier,8,network_profit,36749694.33166733,23009058.97541778,50490329.687916875,42097347577.692,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
rfid,tier,8,network_profit_with_inventory,16341572.654173024,6091583.630237164,26591561.678108886,41399307504.953445,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
rfid,tier,8,satisfaction_index,-8.472049694340234e-05,-0.00016049214059892994,-8.948853287874748e-06,0.9614914698367085,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
rfid,tier,8,fill_rate,-0.0001524444229869859,-0.00030936059163351855,4.471745659546727e-06,0.9835936735168377,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
rfid,tier,8,retail_on_time_rate,-2.4393405794505737e-05,-7.364425411218557e-05,2.4857442523174103e-05,0.9134991801295925,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
rfid,tier,8,quality_mean,-5.901318557899326e-06,-2.5189925306500386e-05,1.3387288190701735e-05,0.9782243951970597,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
rfid,tier,8,co2_kg,-4134230.778675254,-5331396.163050998,-2937065.39429951,2975435457.861808,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
rfid,tier,8,costs_tech,3432800.0,3256977.8270324403,3608622.1729675597,0.0,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
rfid,tier,8,costs_holding,-14901699.15766669,-17204817.03722769,-12598581.278105691,1212962200.4356668,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
rfid,tier,8,costs_shipping,-6444000.357333406,-8091835.771531255,-4796164.943135557,4516546662.023,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
rfid,tier,8,costs_stockout,2936012.5406666645,-87334.22087153466,5959359.302204864,316103452.5773334,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
rfid,tier,8,scrap_value,-29289388.402000062,-31926961.81983804,-26651814.984162085,2534818648.414666,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
rfid,tier,8,costs_handling,-1497.383666666659,-1888.0415478933232,-1106.725785439995,2161722.944,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
rfid,tier,8,bullwhip_DC,-0.04248635688505284,-0.09454270174566046,0.009569987975554771,8.097005523326827,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
rfid,tier,8,bullwhip_MFG,-0.014294164730658565,-0.32095398358102617,0.292365654119709,23.944031385413812,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
rfid,tier,8,bullwhip_CM,-0.1293020762797018,-2.3766750230559768,2.1180708704965734,106.60575902029146,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
risk_intel,all,10,network_profit,-6586333.333333333,-6931686.178139412,-6240980.488527254,42097347577.692,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
risk_intel,all,10,network_profit_with_inventory,-6586333.333333333,-6931686.178139412,-6240980.488527254,41399307504.953445,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
risk_intel,all,10,satisfaction_index,0.0,0.0,0.0,0.9614914698367085,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
risk_intel,all,10,fill_rate,0.0,0.0,0.0,0.9835936735168377,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
risk_intel,all,10,retail_on_time_rate,0.0,0.0,0.0,0.9134991801295925,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
risk_intel,all,10,quality_mean,0.0,0.0,0.0,0.9782243951970597,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
risk_intel,all,10,co2_kg,0.0,0.0,0.0,2975435457.861808,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
risk_intel,all,10,costs_tech,6586333.333333333,6240980.488527254,6931686.178139412,0.0,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
risk_intel,all,10,costs_holding,0.0,0.0,0.0,1212962200.4356668,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
risk_intel,all,10,costs_shipping,0.0,0.0,0.0,4516546662.023,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
risk_intel,all,10,costs_stockout,0.0,0.0,0.0,316103452.5773334,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
risk_intel,all,10,scrap_value,0.0,0.0,0.0,2534818648.414666,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
risk_intel,all,10,costs_handling,0.0,0.0,0.0,2161722.944,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
risk_intel,all,10,bullwhip_DC,0.0,0.0,0.0,8.097005523326827,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
risk_intel,all,10,bullwhip_MFG,0.0,0.0,0.0,23.944031385413812,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
risk_intel,all,10,bullwhip_CM,0.0,0.0,0.0,106.60575902029146,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
risk_intel,tier,4,network_profit,-2121333.3333333335,-2264767.582592485,-1977899.084074182,42097347577.692,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
risk_intel,tier,4,network_profit_with_inventory,-2121333.3333333335,-2264767.582592485,-1977899.084074182,41399307504.953445,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
risk_intel,tier,4,satisfaction_index,0.0,0.0,0.0,0.9614914698367085,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
risk_intel,tier,4,fill_rate,0.0,0.0,0.0,0.9835936735168377,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
risk_intel,tier,4,retail_on_time_rate,0.0,0.0,0.0,0.9134991801295925,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
risk_intel,tier,4,quality_mean,0.0,0.0,0.0,0.9782243951970597,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
