condition,arm,tech,firms,groups,measure,mean,ci_low,ci_high,git_commit,git_dirty,run_date
calm,ct_all,control_tower,48,1,costs_stockout,-10197865.546333337,-15167183.533293027,-5228547.559373648,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,ct_all,control_tower,48,1,costs_holding,-3381262.3863333464,-5864753.033086713,-897771.7395799793,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,ct_all,control_tower,48,1,scrap_value,-1244668.6110000133,-3208409.666362861,719072.4443628343,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,ct_all,control_tower,48,1,bullwhip_DC,-0.6123787867394808,-0.8640494486266079,-0.3607081248523536,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,ct_all,control_tower,48,1,bullwhip_MFG,-4.401377611860764,-6.211076813784063,-2.5916784099374652,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,ct_all,control_tower,48,1,bullwhip_CM,-27.80954942496499,-39.30676965879428,-16.3123291911357,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,bc_all,blockchain,34,1,network_profit,10142277.2236674,-4135680.375883028,24420234.823217828,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,bc_all,blockchain,34,1,network_profit_with_inventory,10457751.195852406,-4178407.6682192273,25093910.05992404,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,bc_all,blockchain,34,1,satisfaction_index,3.869378271815771e-05,-5.388046534900916e-06,8.277561197121633e-05,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,bc_all,blockchain,34,1,fill_rate,9.313192845805674e-08,-8.239864890822123e-08,2.686625058243347e-07,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,bc_all,blockchain,34,1,retail_on_time_rate,0.0,0.0,0.0,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,bc_all,blockchain,34,1,quality_mean,0.00019323608376966192,-2.690885895937576e-05,0.0004133810264986996,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,bc_all,blockchain,34,1,costs_tech,3214399.8633333337,2086220.0009474098,4342579.725719258,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,bc_all,blockchain,34,1,costs_stockout,-1792.8860000004372,-5171.498362623037,1585.7263626221622,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,bc_all,blockchain,34,1,costs_holding,444840.57900000416,-62065.50687368709,951746.6648736955,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,bc_all,blockchain,34,1,scrap_value,-20166482.689000003,-43143829.992176294,2810864.6141762882,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,bc_all,blockchain,34,1,bullwhip_DC,9.541111034276165e-06,-4.069172885659345e-06,2.3151394954211675e-05,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
